timestamp, frame, x, y, z, qx, qy, qz, qw
19733.7278925, 001376, 12.215491, 0.09157357, -13.150596, 0.6209307, -0.102229714, 0.7713662, 0.09480725
19733.744560166, 001377, 12.232479, 0.09119671, -13.148245, 0.62147796, -0.10210154, 0.7709711, 0.09457174
19733.761228125, 001378, 12.249442, 0.090473756, -13.14593, 0.62210107, -0.101724945, 0.7705543, 0.09427818
19733.777895916, 001379, 12.266809, 0.08897032, -13.144992, 0.6227458, -0.101379745, 0.7700993, 0.09411023
19733.794563666, 001380, 12.284143, 0.08738504, -13.143222, 0.6232713, -0.10115872, 0.7696955, 0.09417275
19733.811231541, 001381, 12.301692, 0.08556735, -13.141194, 0.6231862, -0.10067928, 0.7698133, 0.09428764
19733.827899333, 001382, 12.319606, 0.08355734, -13.139063, 0.6221881, -0.10019378, 0.77066374, 0.09444904
19733.844567166, 001383, 12.33788, 0.08146959, -13.136902, 0.62054443, -0.100012235, 0.7720074, 0.09448091
19733.861235, 001384, 12.356377, 0.07937559, -13.134742, 0.6188355, -0.10005589, 0.77340627, 0.09420236
19733.877902791, 001385, 12.374827, 0.07759295, -13.133786, 0.61724555, -0.10000704, 0.7747409, 0.0937178
19733.894570625, 001386, 12.393519, 0.07562086, -13.132124, 0.6157066, -0.09996532, 0.7760366, 0.093163095
19733.911238458, 001387, 12.412386, 0.073643185, -13.130314, 0.61394167, -0.10002065, 0.77747995, 0.092715815
19733.92790625, 001388, 12.431366, 0.07182039, -13.128559, 0.6120459, -0.10046698, 0.7789729, 0.09223473
19733.944574041, 001389, 12.450361, 0.07025614, -13.126932, 0.6102911, -0.10143704, 0.78030276, 0.0915583
19733.961241875, 001390, 12.469262, 0.06895882, -13.125453, 0.60885346, -0.10255275, 0.78137815, 0.09071156
19733.97790975, 001391, 12.487386, 0.06927368, -13.128783, 0.6078169, -0.102898754, 0.78224427, 0.08980112
19733.994577458, 001392, 12.505875, 0.068949305, -13.129284, 0.60694367, -0.10256168, 0.7830465, 0.08909965
19734.011245291, 001393, 12.524526, 0.06857411, -13.128995, 0.6056813, -0.1012598, 0.7842417, 0.08866601
19734.027913166, 001394, 12.543249, 0.06838402, -13.12851, 0.60423136, -0.09928519, 0.7856452, 0.08836599
19734.044580958, 001395, 12.562075, 0.06849785, -13.128029, 0.6029109, -0.09787314, 0.7868145, 0.08855669
19734.061248791, 001396, 12.580996, 0.068922214, -13.127558, 0.60156834, -0.09776718, 0.7877688, 0.08931681
19734.077916541, 001397, 12.600386, 0.070405446, -13.128602, 0.60030496, -0.09920087, 0.78844553, 0.09025927
19734.094584416, 001398, 12.619301, 0.071696706, -13.128512, 0.59928, -0.10195817, 0.7888271, 0.09066316
19734.111252208, 001399, 12.637876, 0.07309879, -13.12813, 0.5986842, -0.104797825, 0.78892887, 0.090475075
19734.127919958, 001400, 12.656144, 0.07446825, -13.12772, 0.5983755, -0.10689734, 0.7888386, 0.090847045
19734.144587791, 001401, 12.674167, 0.07573966, -13.127337, 0.5980767, -0.107908465, 0.78877676, 0.092147976
19734.161255625, 001402, 12.69202, 0.07707204, -13.126956, 0.59738684, -0.108594835, 0.78897846, 0.09406916
19734.1779235, 001403, 12.710888, 0.0789513, -13.12763, 0.59654564, -0.109057516, 0.7893719, 0.09555978
19734.19459125, 001404, 12.728526, 0.08085187, -13.127436, 0.59610915, -0.10965781, 0.7895155, 0.09640706
19734.211259125, 001405, 12.745527, 0.08284148, -13.126861, 0.5964892, -0.1106171, 0.7890718, 0.09659214
19734.227926833, 001406, 12.762292, 0.08489711, -13.12612, 0.59743273, -0.11211686, 0.78819513, 0.096188635
19734.24459475, 001407, 12.779101, 0.0869237, -13.125319, 0.5984143, -0.11409892, 0.78725225, 0.095475994
19734.261262458, 001408, 12.796088, 0.08880149, -13.12455, 0.59907824, -0.11614572, 0.7865223, 0.094856575
19734.27793025, 001409, 12.813614, 0.090651065, -13.126248, 0.5992112, -0.117571354, 0.7862835, 0.094239086
19734.294598041, 001410, 12.830968, 0.0921646, -13.126441, 0.5993564, -0.11827399, 0.7861877, 0.09322994
19734.311265875, 001411, 12.848261, 0.09344744, -13.126223, 0.5997197, -0.11856158, 0.7860197, 0.09193635
19734.327933708, 001412, 12.865521, 0.09450897, -13.125945, 0.60045344, -0.118592076, 0.7856217, 0.09049787
19734.344601458, 001413, 12.8827305, 0.095314495, -13.125721, 0.6016503, -0.118205026, 0.78494745, 0.088891886
19734.361269333, 001414, 12.899899, 0.095831536, -13.125604, 0.6035498, -0.117520295, 0.783756, 0.08742462
19734.377937208, 001415, 12.917179, 0.09463892, -13.124554, 0.6060423, -0.11669789, 0.78207487, 0.0863314
19734.394604916, 001416, 12.934576, 0.09404499, -13.124319, 0.6086571, -0.11567395, 0.78026325, 0.08570506
19734.411272791, 001417, 12.952154, 0.09343124, -13.124381, 0.6109421, -0.11414353, 0.77872825, 0.085459106
19734.427940583, 001418, 12.9698305, 0.0926876, -13.124572, 0.6130739, -0.11186477, 0.77741575, 0.08515487
19734.4446085, 001419, 12.987489, 0.09182278, -13.12484, 0.6155978, -0.10924827, 0.7758266, 0.08483647
19734.461276208, 001420, 13.005057, 0.09086001, -13.125126, 0.6187278, -0.10659933, 0.77373457, 0.08454039
19734.477944083, 001421, 13.022226, 0.08968897, -13.125411, 0.6223709, -0.10425744, 0.77116144, 0.08423087
19734.494611791, 001422, 13.0396, 0.08864463, -13.125658, 0.6261644, -0.10238648, 0.7683869, 0.08376569
19734.511279583, 001423, 13.05705, 0.08770627, -13.125918, 0.62987125, -0.10087148, 0.7656379, 0.08297938
19734.5279475, 001424, 13.074517, 0.08684233, -13.126245, 0.63347095, -0.09969016, 0.7629156, 0.08207444
19734.544615291, 001425, 13.091931, 0.08602745, -13.126664, 0.6369213, -0.09872965, 0.76025224, 0.08124157
19734.561283083, 001426, 13.109143, 0.08529933, -13.127206, 0.6404432, -0.09742895, 0.7575639, 0.08023016
19734.577950958, 001427, 13.125371, 0.0851616, -13.128856, 0.6443834, -0.095723435, 0.75456184, 0.079014935
19734.59461875, 001428, 13.141644, 0.084945634, -13.129958, 0.6495086, -0.09376142, 0.7505463, 0.07763811
19734.6112865, 001429, 13.157795, 0.08491166, -13.131003, 0.6556267, -0.09210397, 0.74554855, 0.076339304
19734.627954333, 001430, 13.173871, 0.08513955, -13.132196, 0.66258776, -0.0904231, 0.7397157, 0.07497781
19734.644622208, 001431, 13.190085, 0.08560262, -13.133703, 0.6701634, -0.08883442, 0.7330854, 0.07466775
19734.66129, 001432, 13.206757, 0.086248755, -13.135596, 0.6768681, -0.08839166, 0.72668, 0.07728291
19734.67795775, 001433, 13.223845, 0.08719151, -13.137729, 0.681239, -0.087595195, 0.722321, 0.08057797
19734.694625583, 001434, 13.240707, 0.08844761, -13.139489, 0.6840503, -0.08632863, 0.7194829, 0.083467394
19734.711293416, 001435, 13.257214, 0.09007075, -13.141376, 0.6873718, -0.08391116, 0.71652377, 0.08409913
19734.72796125, 001436, 13.273053, 0.09188322, -13.143221, 0.6926745, -0.08116242, 0.7117906, 0.08347906
19734.744629, 001437, 13.2885475, 0.09368878, -13.145191, 0.6995036, -0.079871334, 0.7051423, 0.08419903
19734.761296875, 001438, 13.304135, 0.09550291, -13.147462, 0.7060945, -0.079634026, 0.6983771, 0.085781276
19734.777964708, 001439, 13.320071, 0.097334005, -13.1500025, 0.7109038, -0.08016633, 0.69316924, 0.08778129
19734.794632416, 001440, 13.337097, 0.09881038, -13.151634, 0.71396196, -0.08072075, 0.68976825, 0.08923149
19734.811300208, 001441, 13.353508, 0.10041634, -13.154052, 0.7161956, -0.081034, 0.68725526, 0.09042939
19734.827968125, 001442, 13.369469, 0.1019004, -13.156684, 0.7187107, -0.08165595, 0.6843347, 0.092050344
19734.844635958, 001443, 13.384975, 0.103232495, -13.15935, 0.7221735, -0.08284619, 0.68028027, 0.09391817
19734.861303666, 001444, 13.400079, 0.104402006, -13.162031, 0.72660494, -0.08431348, 0.67513156, 0.09557054
19734.877971416, 001445, 13.41471, 0.10419988, -13.164479, 0.7313775, -0.085540816, 0.6695822, 0.09710467
19734.894639333, 001446, 13.429541, 0.10432919, -13.167313, 0.73568743, -0.08606476, 0.6645303, 0.09877392
19734.911307125, 001447, 13.444605, 0.10429514, -13.170428, 0.73908895, -0.08599691, 0.66049314, 0.10050243
19734.927974958, 001448, 13.45988, 0.10401703, -13.173739, 0.74169767, -0.08561195, 0.65737545, 0.102041826
19734.944642833, 001449, 13.475304, 0.10348015, -13.17715, 0.74379104, -0.08510035, 0.6548836, 0.10324848
19734.961310583, 001450, 13.49085, 0.10270418, -13.180609, 0.7456865, -0.084779754, 0.65262395, 0.10414416
19734.977978416, 001451, 13.506497, 0.10172996, -13.184126, 0.7476599, -0.0851004, 0.6501731, 0.10505882
19734.994646083, 001452, 13.523802, 0.09880965, -13.187041, 0.7497663, -0.08589068, 0.64750993, 0.10584986
19735.011314041, 001453, 13.540106, 0.09686164, -13.190509, 0.75187194, -0.08671415, 0.6448733, 0.10633676
19735.027981791, 001454, 13.556205, 0.09506514, -13.194229, 0.7537243, -0.0873623, 0.6425551, 0.10672592
19735.044649666, 001455, 13.572398, 0.09321371, -13.198148, 0.7552411, -0.087721415, 0.64066863, 0.10704921
19735.061317458, 001456, 13.588788, 0.09131177, -13.2022505, 0.7564449, -0.08777051, 0.6392063, 0.10725024
